method_code,method_name,section,grades,recommended_competitions
E4,"Принцип Дирихле","E","[7, 8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
E5,"Инварианты по модулю","E","[8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
E5a,"Логарифмы и показательные уравнения","E","[9, 10, 11]","Физтех, Ломоносов"
E5b,"Тригонометрические уравнения","E","[10, 11]","Физтех, Высшая проба"
E6,"Графы (общее)","E","[8, 9, 10, 11]","ВсОШ, Курчатов"
E6a,"Чётность функций","E","[9, 10, 11]","Физтех, Ломоносов"
E6b,"Графы: обходы, эйлеровы пути","E","[9, 10, 11]","ВсОШ заключ., Турнир городов"
E6c,"Периодичность функций","E","[10, 11]","Физтех"
E7,"Игры: парные стратегии, чётностные инварианты","E","[8, 9, 10, 11]","ВсОШ, Турнир городов"
E8,"Вероятностный метод (Эрдёш)","E","[10, 11]","ВсОШ заключ."
E9,"Экстремальный принцип","E","[8, 9, 10, 11]","ВсОШ, Курчатов, Турнир городов"
E10,"Двойной счёт","E","[8, 9, 10, 11]","ВсОШ, Курчатов, Ломоносов"
E10a,"Корни многочленов в комбинаторике","E","[10, 11]","ВсОШ заключ., Физтех"
E10b,"Двойной счёт через инциденции","E","[9, 10, 11]","ВсОШ заключ., Курчатов"
E11,"Циклическое разрезание (равные блоки)","E","[9, 10, 11]","ВсОШ заключ., Турнир городов"
E12,"Расстановка ладей с гарантированным выбором","E","[10, 11]","ВсОШ заключ."
E13,"Графы: связность, деревья","E","[9, 10, 11]","ВсОШ заключ., Курчатов"
E14,"Оценка + пример (главный жанр ВсОШ)","E","[9, 10, 11]","ВсОШ, Курчатов, Высшая проба"
E14a,"Алгебраические группировки в оценке","E","[10, 11]","ВсОШ заключ., Высшая проба"
E14b,"Явное построение примера (конструкция)","E","[9, 10, 11]","ВсОШ, Высшая проба"
E15,"Принцип включений-исключений","E","[9, 10, 11]","ВсОШ, Ломоносов, Курчатов, Высшая проба"
E16,"Раскраски как инвариант","E","[7, 8, 9, 10, 11]","ВсОШ, Ломоносов, Турнир городов"
E17,"Метод усреднения","E","[8, 9, 10, 11]","ВсОШ, Курчатов, Турнир городов"
E18,"Симметричная стратегия (копирование) в играх","E","[7, 8, 9, 10, 11]","ВсОШ, Ломоносов, Турнир городов"
F1,"Треугольники: равенство, подобие, медианы","F","[7, 8, 9, 10, 11]","ВсОШ, Ломоносов, Физтех"
F2,"Окружности: вписанные углы, степень точки","F","[8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов, Физтех"
F3,"Вписанные/описанные 4-угольники","F","[9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
F4,"Дополнительное построение (общее)","F","[9, 10, 11]","ВсОШ, Курчатов"
F4a,"Симметрия, поворот, перенос","F","[9, 10, 11]","ВсОШ, Курчатов, Турнир городов"
F4b,"Касательные к окружности","F","[9, 10, 11]","ВсОШ заключ., Курчатов"
F5,"Гомотетия и спиральное подобие","F","[10, 11]","ВсОШ заключ., Физтех"
F6,"Площади: двойной подсчёт, средние линии","F","[8, 9, 10, 11]","ВсОШ, Ломоносов"
F7,"Векторы и скалярное произведение","F","[9, 10, 11]","Физтех, Высшая проба"
F8,"Комбинаторная геометрия","F","[9, 10, 11]","ВсОШ заключ., Турнир городов"
F9,"Координатный метод (общее)","F","[9, 10, 11]","Физтех, Ломоносов"
F9a,"Координаты на плоскости","F","[9, 10, 11]","Физтех, Ломоносов, Высшая проба"
F9b,"Векторы для геометрических задач","F","[10, 11]","Физтех, Высшая проба"
F10,"Тригонометрия в треугольнике","F","[9, 10, 11]","Физтех, Ломоносов"
F11,"Разрезания и замощения","F","[7, 8, 9, 10, 11]","ВсОШ, Турнир городов"
F12,"Стереометрия (общее)","F","[10, 11]","Физтех, Высшая проба"
F13,"Инцентр, биссектрисы, равные касательные","F","[9, 10, 11]","ВсОШ заключ., Курчатов"
F14,"Геометрическое место точек (ГМТ)","F","[9, 10, 11]","ВсОШ, Курчатов"
F15,"Инверсия","F","[10, 11]","ВсОШ заключ., Турнир городов, междунар."
F16,"Метод площадей (отношения через площади)","F","[8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
F17,"Барицентрические координаты","F","[10, 11]","Физтех, Высшая проба, Турнир городов"
G1,"AM-GM и средние","G","[9, 10, 11]","ВсОШ заключ., Высшая проба, Физтех"
G2,"Коши-Буняковский, перегруппировки","G","[10, 11]","Физтех, Высшая проба"
G3,"Шур и SOS-разложение","G","[11]","Высшая проба, Турнир городов"
G4,"Йенсен (выпуклые функции)","G","[10, 11]","Физтех, Высшая проба"
G5,"SOS-расширения","G","[11]","Турнир городов, междунар."
G6,"Симметричные/циклические неравенства","G","[10, 11]","ВсОШ заключ., Физтех"
G7,"Метод касательных, локальные возмущения","G","[11]","Высшая проба, междунар."
G8,"Подстановки и нормализация в симметричных неравенствах","G","[10, 11]","ВсОШ заключ., Высшая проба, Турнир городов"
H1,"Пределы и непрерывность","H","[11]","Физтех, Высшая проба"
H2,"Производные: исследование функций","H","[10, 11]","Физтех, Высшая проба"
H3,"Интегралы и площади","H","[11]","Физтех, Высшая проба"
H4,"Ряды и сходимость","H","[11]","Физтех"
H5,"Метод вспомогательной функции","H","[10, 11]","Физтех, Высшая проба, ВсОШ заключ."
