task_uid,grade,theme_id,level,quality_status
EXISTING-2ba4c87f9009,7,T026,2,RECHECK
EXISTING-5c69fd871b98,7,T026,2,RECHECK
EXISTING-2759675cbb4c,7,T026,2,RECHECK
EXISTING-bbe726784d4f,7,T026,2,RECHECK
EXISTING-850a734e3eda,6,T018,3,RECHECK
EXISTING-6ca804295fe6,6,T018,3,RECHECK
EXISTING-fd5d3dc66661,6,T018,3,RECHECK
EXISTING-388bfd976e03,6,T018,3,RECHECK
EXISTING-18935cce8983,6,T018,3,RECHECK
EXISTING-ea05382800ea,7,T025,1,RECHECK
EXISTING-c1a9965f561e,7,T025,1,RECHECK
EXISTING-1ec5c32eb8a7,7,T025,1,RECHECK
EXISTING-09f19d05388b,7,T025,1,RECHECK
EXISTING-25de79c800db,7,T025,1,RECHECK
EXISTING-a30e8793af6a,7,T026,3,RECHECK
EXISTING-d272ac3e2673,7,T026,3,RECHECK
EXISTING-485bc4bec1a9,7,T026,3,RECHECK
EXISTING-bf85680394b9,7,T026,3,RECHECK
EXISTING-25ae2fa8643d,7,T026,3,RECHECK
EXISTING-199aa700ae38,7,T025,2,RECHECK
EXISTING-8fc5d5297f84,7,T025,2,RECHECK
EXISTING-f59c5e6f4dc8,7,T025,2,RECHECK
EXISTING-39950d692cbd,7,T025,2,RECHECK
EXISTING-1292036836b1,7,T025,2,RECHECK
EXISTING-4bdde66e8927,6,T018,2,RECHECK
EXISTING-ec79170047db,6,T018,2,RECHECK
EXISTING-74825355496e,6,T018,2,RECHECK
EXISTING-2470fc94a0fb,6,T018,2,RECHECK
EXISTING-6538db39ba36,6,T018,2,RECHECK
EXISTING-4c841eb44172,7,T023,1,RECHECK
EXISTING-fd12207ced38,7,T023,1,RECHECK
EXISTING-6ae771ffde29,7,T023,1,RECHECK
EXISTING-fc0451d732c0,7,T023,1,RECHECK
EXISTING-f1af56434404,7,T023,1,RECHECK
EXISTING-5ab0c72cffbd,7,T027,1,RECHECK
EXISTING-d29cd68f87df,7,T027,1,RECHECK
EXISTING-874b207a2382,7,T027,1,RECHECK
EXISTING-739e9c38ed72,7,T027,1,RECHECK
EXISTING-f04cfc8772d8,7,T027,1,RECHECK
EXISTING-dfa16ec1bcd4,7,T025,3,RECHECK
EXISTING-7b7ce3786555,7,T025,3,RECHECK
EXISTING-4eee7a5a2e8d,7,T025,3,RECHECK
EXISTING-4ad0f6bb1b56,7,T025,3,RECHECK
EXISTING-208abf8bbc41,7,T025,3,RECHECK
EXISTING-91d161cd69d8,7,T023,2,RECHECK
EXISTING-dfc36e941d43,7,T023,2,RECHECK
EXISTING-f160ac4e2df0,7,T023,2,RECHECK
EXISTING-3913a9cd31df,7,T023,2,RECHECK
EXISTING-02d406585994,7,T023,2,RECHECK
EXISTING-9cfb61de8305,7,T027,3,RECHECK
EXISTING-ecb7210bab89,7,T027,3,RECHECK
EXISTING-baf5a5afe917,7,T027,3,RECHECK
EXISTING-ea3c09d4dc5e,7,T027,3,RECHECK
EXISTING-63d47bd9f9e2,7,T027,3,RECHECK
EXISTING-1b460ef9898a,7,T019,1,RECHECK
EXISTING-bb298255cd1e,7,T019,1,RECHECK
EXISTING-707505c14474,7,T019,1,RECHECK
EXISTING-8abf8b541e50,7,T019,1,RECHECK
EXISTING-f0c861482a37,7,T019,1,RECHECK
EXISTING-fb4c8f04e8af,7,T027,2,RECHECK
EXISTING-a0c952874db1,7,T027,2,RECHECK
EXISTING-c2edff698baf,7,T027,2,RECHECK
EXISTING-6ce6fc3bd933,7,T027,2,RECHECK
EXISTING-9d7c115c1e28,7,T027,2,RECHECK
EXISTING-d94a3c57a5f1,6,T016,3,RECHECK
EXISTING-87b45ce25bc0,6,T016,3,RECHECK
EXISTING-731d9c2a5d8e,6,T016,3,RECHECK
EXISTING-d917f0fee51b,6,T016,3,RECHECK
EXISTING-73845a1ea1d2,6,T016,3,RECHECK
EXISTING-11ec74bb69cb,7,T003,1,RECHECK
EXISTING-aa17a7513d33,7,T003,1,RECHECK
EXISTING-8e1cd9c5d039,7,T003,1,RECHECK
EXISTING-04eccb493c70,7,T003,1,RECHECK
EXISTING-0ee827a7b91e,7,T003,1,RECHECK
EXISTING-90a16310dc5b,7,T023,3,RECHECK
EXISTING-e3b64bf44b55,7,T023,3,RECHECK
EXISTING-ae5845f06ea8,7,T023,3,RECHECK
EXISTING-c5f9dd0a45a2,7,T023,3,RECHECK
EXISTING-3604866d3951,7,T023,3,RECHECK
EXISTING-2e51b964f685,7,T019,2,RECHECK
EXISTING-afcb9511477f,7,T019,2,RECHECK
EXISTING-1eb9ef8b54ec,7,T019,2,RECHECK
EXISTING-2c53c05253fb,7,T019,2,RECHECK
EXISTING-7b6563129570,7,T019,2,RECHECK
EXISTING-81511e7e5eb3,7,T003,2,RECHECK
EXISTING-f3121f9deb5d,7,T003,2,RECHECK
EXISTING-e278156e83a6,7,T003,2,RECHECK
EXISTING-a3df09463abc,7,T003,2,RECHECK
EXISTING-c8d946e4c3a2,7,T003,2,RECHECK
EXISTING-988d07bc044c,8,T042,1,RECHECK
EXISTING-161f43b0a6f6,8,T042,1,RECHECK
EXISTING-14bcace24ef9,8,T042,1,RECHECK
EXISTING-50678ba1f0af,8,T042,1,RECHECK
EXISTING-6d3af135903e,8,T042,1,RECHECK
EXISTING-6ef01b66ab6e,8,T011,1,RECHECK
EXISTING-948bd6564157,8,T011,1,RECHECK
EXISTING-72766487973d,8,T011,1,RECHECK
EXISTING-6ef01b66ab6e,8,T011,1,RECHECK
EXISTING-816d79e624a2,8,T011,1,RECHECK
EXISTING-e2f0b042f039,8,T011,2,RECHECK
EXISTING-9aa805db6ea6,8,T011,2,RECHECK
EXISTING-f10e8e4dd0d4,8,T011,2,RECHECK
EXISTING-71e0791b11e9,8,T011,2,RECHECK
EXISTING-72bf11b48c94,8,T011,2,RECHECK
EXISTING-43c9daec8e85,7,T003,3,RECHECK
EXISTING-abefc59d6512,7,T003,3,RECHECK
EXISTING-5a6e7ebe3ce0,7,T003,3,RECHECK
EXISTING-10cfa035ffd3,7,T003,3,RECHECK
EXISTING-39d2e05e8ebc,7,T003,3,RECHECK
EXISTING-48645b66b6a0,8,T012,1,RECHECK
EXISTING-56562565cede,8,T012,1,RECHECK
EXISTING-070d60bc3fe0,8,T012,1,RECHECK
EXISTING-c5a236997e32,8,T012,1,RECHECK
EXISTING-900e7fbf2f16,8,T012,1,RECHECK
EXISTING-91be65080c53,8,T042,2,RECHECK
EXISTING-ff2f5bbb67f4,8,T042,2,RECHECK
EXISTING-3bdf1839c1dc,8,T042,2,RECHECK
EXISTING-18324d5c2cbd,8,T042,2,RECHECK
EXISTING-07bf4257245a,8,T042,2,RECHECK
EXISTING-4eda59b9f3c0,8,T012,3,RECHECK
EXISTING-310dd5f46a55,8,T012,3,RECHECK
EXISTING-484e22bf87c7,8,T012,3,RECHECK
EXISTING-5920496f185c,8,T012,3,RECHECK
EXISTING-89069e1ce391,8,T012,3,RECHECK
EXISTING-cdce11b7fde7,8,T012,2,RECHECK
EXISTING-6f0640baaa51,8,T012,2,RECHECK
EXISTING-d1a5c06b15cb,8,T012,2,RECHECK
EXISTING-b7bf73afce36,8,T012,2,RECHECK
EXISTING-c849dd384a1b,8,T012,2,RECHECK
EXISTING-b76a690ab5b5,8,T037,1,RECHECK
EXISTING-687f7461ef69,8,T037,1,RECHECK
EXISTING-e7ad01fcec91,8,T037,1,RECHECK
EXISTING-6b8190e7c4c8,8,T037,1,RECHECK
EXISTING-ca7d923eb1d0,8,T037,1,RECHECK
EXISTING-498c60a0f5bb,8,T037,2,RECHECK
EXISTING-4b923fefb3c8,8,T037,2,RECHECK
EXISTING-b1ba3a2c26b3,8,T037,2,RECHECK
EXISTING-e24e87ff705a,8,T037,2,RECHECK
EXISTING-0ddd569e7dbf,8,T037,2,RECHECK
EXISTING-7d7b5de19751,7,T019,3,RECHECK
EXISTING-8d6f69d57013,7,T019,3,RECHECK
EXISTING-bc4693f7c073,7,T019,3,RECHECK
EXISTING-5f10e7a81833,8,T042,3,RECHECK
EXISTING-d10adfc01445,8,T042,3,RECHECK
EXISTING-24a520b80d90,8,T042,3,RECHECK
EXISTING-331ec492a1a0,8,T042,3,RECHECK
EXISTING-5449b72e2e08,8,T042,3,RECHECK
EXISTING-d4734870c4ec,8,T009,1,RECHECK
EXISTING-c78799c3cea6,8,T009,1,RECHECK
EXISTING-a7e9cb4a91d8,8,T009,1,RECHECK
EXISTING-4f6579f9d8f8,8,T009,1,RECHECK
EXISTING-e9648532c683,8,T009,1,RECHECK
EXISTING-14cd771d40b5,8,T011,3,RECHECK
EXISTING-f57b778105d6,8,T011,3,RECHECK
EXISTING-ffabc1388672,8,T011,3,RECHECK
EXISTING-79f802f0a836,8,T011,3,RECHECK
EXISTING-7e7f3bdd7b6e,8,T017,1,RECHECK
EXISTING-6b249a1858b1,8,T017,1,RECHECK
EXISTING-c7d6689c1780,8,T017,1,RECHECK
EXISTING-47ee361d4a14,8,T017,1,RECHECK
EXISTING-962b2233565b,8,T017,1,RECHECK
EXISTING-5658b056c0fa,8,T009,3,RECHECK
EXISTING-06f14c2460d0,8,T009,3,RECHECK
EXISTING-48dd6b6bdac5,8,T009,3,RECHECK
EXISTING-a984e0edebf4,8,T009,3,RECHECK
EXISTING-ca8dca21d36c,8,T009,3,RECHECK
EXISTING-9405afd81e9e,8,T037,3,RECHECK
EXISTING-1f10f900628c,8,T037,3,RECHECK
EXISTING-91af18137859,8,T037,3,RECHECK
EXISTING-15c0e8498af6,8,T037,3,RECHECK
EXISTING-726d267dc5ef,8,T037,3,RECHECK
EXISTING-89f34fa0c36e,8,T009,2,RECHECK
EXISTING-8b18e71fbe9b,8,T009,2,RECHECK
EXISTING-beea2ad06f6c,8,T009,2,RECHECK
EXISTING-4f8854bc34f1,8,T009,2,RECHECK
EXISTING-703fc0a200b9,8,T009,2,RECHECK
EXISTING-eb5641c78e13,9,T038,1,RECHECK
EXISTING-c33beac1c6a7,9,T038,1,RECHECK
EXISTING-5ef365b09e01,9,T038,1,RECHECK
EXISTING-6cf114881661,9,T038,1,RECHECK
EXISTING-c46239a5914b,9,T038,1,RECHECK
EXISTING-89444c5d2d6b,9,T038,3,RECHECK
EXISTING-bbed8fdb22ea,9,T038,3,RECHECK
EXISTING-7d448b5270d9,9,T038,3,RECHECK
EXISTING-038edbb6f7f0,9,T038,3,RECHECK
EXISTING-6ec3299c3413,9,T038,3,RECHECK
EXISTING-728c0a4a5483,9,T020,2,RECHECK
EXISTING-b34a5fef8722,9,T020,2,RECHECK
EXISTING-2e7baa9b4eb0,9,T020,2,RECHECK
EXISTING-526b76a3880b,9,T020,2,RECHECK
EXISTING-c2798b120f26,9,T020,2,RECHECK
EXISTING-e77218989d1a,9,T020,1,RECHECK
EXISTING-f3b0646c0ac7,9,T020,1,RECHECK
EXISTING-1439cc0b7590,9,T020,1,RECHECK
EXISTING-90b2b22bd270,9,T020,1,RECHECK
EXISTING-31daff8e419e,9,T020,1,RECHECK
EXISTING-a0ff17466ea0,9,T038,2,RECHECK
EXISTING-59f0477d8098,9,T038,2,RECHECK
EXISTING-96d9cbd93b8e,9,T038,2,RECHECK
EXISTING-6a2b61a23d0f,9,T038,2,RECHECK
EXISTING-ba49692a5536,9,T038,2,RECHECK
EXISTING-27c65129959e,9,T010,1,RECHECK
EXISTING-dd30ef6015de,9,T010,1,RECHECK
EXISTING-e0abbf0ee017,9,T010,1,RECHECK
EXISTING-401e021c0e19,9,T010,1,RECHECK
EXISTING-9ae8bff5e35e,9,T010,1,RECHECK
EXISTING-59e80023443a,8,T017,3,RECHECK
EXISTING-4c98af0c3fff,8,T017,3,RECHECK
EXISTING-f6856f2ce2a0,8,T017,3,RECHECK
EXISTING-36da85b8b3f8,8,T017,3,RECHECK
EXISTING-b2591f9d40fc,8,T017,3,RECHECK
EXISTING-0a3475a08062,9,T020,3,RECHECK
EXISTING-2a129d512fb4,9,T020,3,RECHECK
EXISTING-b840584a3d44,9,T020,3,RECHECK
EXISTING-79026c61478d,9,T020,3,RECHECK
EXISTING-271d2ee082fe,8,T017,2,RECHECK
EXISTING-4d35f914a60a,8,T017,2,RECHECK
EXISTING-9009ca726d0f,8,T017,2,RECHECK
EXISTING-7ba4802a9405,8,T017,2,RECHECK
EXISTING-2584c1f4776c,9,T015,1,RECHECK
EXISTING-889ebafc36aa,9,T015,1,RECHECK
EXISTING-c1b4008cc71d,9,T015,1,RECHECK
EXISTING-cdf4f2df9789,9,T015,1,RECHECK
EXISTING-0e5d5de8aaf2,9,T015,1,RECHECK
EXISTING-74b6e7883647,9,T036,1,RECHECK
EXISTING-edb1eef8c69a,9,T036,1,RECHECK
EXISTING-e7207dbd449b,9,T036,1,RECHECK
EXISTING-beab6817f030,9,T036,1,RECHECK
EXISTING-2c50b8498f8f,9,T036,1,RECHECK
EXISTING-85a08fc11680,9,T010,3,RECHECK
EXISTING-0a13bef00a6b,9,T010,3,RECHECK
EXISTING-8e0bb89e39e8,9,T010,3,RECHECK
EXISTING-5325d0aa6fe4,9,T010,3,RECHECK
EXISTING-da78c96a1d79,9,T010,3,RECHECK
EXISTING-7f21d80cea09,9,T015,3,RECHECK
EXISTING-8116965e7308,9,T015,3,RECHECK
EXISTING-1dbc704154bf,9,T015,3,RECHECK
EXISTING-e500fbe40715,9,T015,3,RECHECK
EXISTING-8bf350261876,9,T015,3,RECHECK
EXISTING-a4079e63d655,9,T010,2,RECHECK
EXISTING-3e61637b90a0,9,T010,2,RECHECK
EXISTING-9aff1d5e2a7f,9,T010,2,RECHECK
EXISTING-4adb4fe35708,9,T010,2,RECHECK
EXISTING-63cdda22bb89,9,T010,2,RECHECK
EXISTING-3a3cfcc7eb2e,9,T035,1,RECHECK
EXISTING-85f69b403e4c,9,T035,1,RECHECK
EXISTING-efe7db3a0f70,9,T035,1,RECHECK
EXISTING-68265ce9bb6f,9,T035,1,RECHECK
EXISTING-4ba649f8113a,9,T035,1,RECHECK
EXISTING-d20c0fd8af0e,9,T015,2,RECHECK
EXISTING-e2daa937d27f,9,T015,2,RECHECK
EXISTING-532247a9c1ac,9,T015,2,RECHECK
EXISTING-413db2bdb0f4,9,T015,2,RECHECK
EXISTING-832fc03f2e11,9,T015,2,RECHECK
EXISTING-b4d5b4791d21,9,T036,2,RECHECK
EXISTING-567272b0e4ff,9,T036,2,RECHECK
EXISTING-3c4acc8d2a21,9,T036,2,RECHECK
EXISTING-abbb4fa5561b,9,T036,2,RECHECK
EXISTING-276fe5399f75,9,T036,2,RECHECK
EXISTING-d1f384ee814f,10,T039,1,RECHECK
EXISTING-959ff612951f,10,T039,1,RECHECK
EXISTING-162219368b57,10,T039,1,RECHECK
EXISTING-2eedf236109f,10,T039,1,RECHECK
EXISTING-1f41e919cb6e,10,T039,1,RECHECK
EXISTING-9e02f7d0d37d,10,T039,2,RECHECK
EXISTING-f2ff2041c8c9,10,T039,2,RECHECK
EXISTING-78f725e02ff5,10,T039,2,RECHECK
EXISTING-f277a5544cc7,10,T039,2,RECHECK
EXISTING-246a74fe7c39,10,T039,2,RECHECK
EXISTING-abfe04e1e777,9,T035,2,RECHECK
EXISTING-4b092c67cef7,9,T035,2,RECHECK
EXISTING-54b61d626746,9,T035,2,RECHECK
EXISTING-477b11eca189,9,T035,2,RECHECK
EXISTING-d0c8e4bc53bd,9,T035,2,RECHECK
EXISTING-9a7f6fcda5df,9,T036,3,RECHECK
EXISTING-2e5bc29542e3,9,T036,3,RECHECK
EXISTING-a63d1ca374e1,9,T036,3,RECHECK
EXISTING-d269bdf1e6dd,9,T036,3,RECHECK
EXISTING-2563b92155fa,9,T036,3,RECHECK
EXISTING-e47288d90baa,10,T013,1,RECHECK
EXISTING-84d766b6566f,10,T013,1,RECHECK
EXISTING-e1b45a058f18,10,T013,1,RECHECK
EXISTING-92516abf0ade,10,T013,1,RECHECK
EXISTING-2859f7cff1c4,10,T013,1,RECHECK
EXISTING-8f492ad8eb48,10,T013,2,RECHECK
EXISTING-286091b95e37,10,T013,2,RECHECK
EXISTING-f6f78c184d58,10,T013,2,RECHECK
EXISTING-a4192b50ba8f,10,T013,2,RECHECK
EXISTING-6ef8a67606c4,10,T013,2,RECHECK
EXISTING-eb7356cdfce9,10,T014,1,RECHECK
EXISTING-0f8a744722e4,10,T014,1,RECHECK
EXISTING-0a497d4bc77e,10,T014,1,RECHECK
EXISTING-7ca24456f4fc,10,T014,1,RECHECK
EXISTING-ce23aed11635,10,T014,1,RECHECK
EXISTING-4109a4108359,10,T014,2,RECHECK
EXISTING-e5d3755c31af,10,T014,2,RECHECK
EXISTING-c5c4824a064f,10,T014,2,RECHECK
EXISTING-aa3c1037accd,10,T014,2,RECHECK
EXISTING-114827f88788,10,T014,2,RECHECK
EXISTING-78c5a72d4a2f,9,T035,3,RECHECK
EXISTING-1f85a4fceaa0,9,T035,3,RECHECK
EXISTING-4b1b3a5c204e,9,T035,3,RECHECK
EXISTING-9684fa3d4073,9,T035,3,RECHECK
EXISTING-13dfed528503,9,T035,3,RECHECK
EXISTING-5a52d21f7258,10,T013,3,RECHECK
EXISTING-f61ce0c766b8,10,T013,3,RECHECK
EXISTING-e401ce33556b,10,T013,3,RECHECK
EXISTING-31beb500b156,10,T013,3,RECHECK
EXISTING-22ed2c688c04,10,T013,3,RECHECK
EXISTING-16ea0bf7a28d,10,T028,1,RECHECK
EXISTING-32c40336a1c1,10,T028,1,RECHECK
EXISTING-dffeba45c55e,10,T028,1,RECHECK
EXISTING-4e29a5a8a4ec,10,T028,1,RECHECK
EXISTING-d0dc388ff7d9,10,T028,1,RECHECK
EXISTING-f2fb2c55cc1d,10,T014,3,RECHECK
EXISTING-22a411b78426,10,T014,3,RECHECK
EXISTING-791d5ff692f8,10,T014,3,RECHECK
EXISTING-b199f5ad5fd9,10,T014,3,RECHECK
EXISTING-c21f6c253abd,10,T014,3,RECHECK
EXISTING-feb293856ceb,10,T029,1,RECHECK
EXISTING-fb25fe1569f9,10,T029,1,RECHECK
EXISTING-a678ef17ddba,10,T029,1,RECHECK
EXISTING-e56ad5c16af3,10,T029,1,RECHECK
EXISTING-edfb22f70217,10,T029,1,RECHECK
EXISTING-30a7d8f9188e,10,T039,3,RECHECK
